dataset,balancing_method,scaler_type,model_label,TP,FP,FN,TN,F1_Score,Precision,Recall,Especificidad,Error,ROC_AUC,PR_AUC
derby-10.5.1.1,smote,standard,SVM,25,55,52,409,0.3184713375796178,0.3125,0.3246753246753247,0.8814655172413793,0.1977818853974122,0.7586766681594267,0.29054597111951913
derby-10.5.1.1,smote,standard,Naive Bayes Gaussiano,34,43,43,421,0.44155844155844154,0.44155844155844154,0.44155844155844154,0.9073275862068966,0.1589648798521257,0.7896327810120912,0.5030877079856175
derby-10.5.1.1,smote,standard,Árbol de Decisión,41,104,36,360,0.36936936936936937,0.2827586206896552,0.5324675324675324,0.7758620689655172,0.2587800369685767,0.6541648007165248,0.4408847956174108
derby-10.5.1.1,smote,robust,SVM,57,160,20,304,0.3877551020408163,0.2626728110599078,0.7402597402597403,0.6551724137931034,0.33271719038817005,0.7438703537841469,0.2480533929463903
derby-10.5.1.1,smote,robust,Naive Bayes Gaussiano,4,7,73,457,0.09090909090909091,0.36363636363636365,0.05194805194805195,0.9849137931034483,0.1478743068391867,0.7656459919390954,0.32281083661831195
derby-10.5.1.1,smote,robust,Árbol de Decisión,44,91,33,373,0.41509433962264153,0.32592592592592595,0.5714285714285714,0.8038793103448276,0.22920517560073936,0.6943293775190327,0.42008697994011374
groovy-1_6_BETA_1,unbalanced,standard,SVM,6,92,8,59,0.10714285714285714,0.061224489795918366,0.42857142857142855,0.39072847682119205,0.6060606060606061,0.4361400189214759,0.09251391983807791
groovy-1_6_BETA_1,unbalanced,standard,Naive Bayes Gaussiano,4,11,10,140,0.27586206896551724,0.26666666666666666,0.2857142857142857,0.9271523178807947,0.12727272727272726,0.6908703878902555,0.28316945145966294
groovy-1_6_BETA_1,unbalanced,standard,Árbol de Decisión,4,9,10,142,0.2962962962962963,0.3076923076923077,0.2857142857142857,0.9403973509933775,0.11515151515151516,0.6130558183538315,0.32700632700632704
groovy-1_6_BETA_1,unbalanced,robust,SVM,3,4,11,147,0.2857142857142857,0.42857142857142855,0.21428571428571427,0.9735099337748344,0.09090909090909091,0.804162724692526,0.366176646824243
groovy-1_6_BETA_1,unbalanced,robust,Naive Bayes Gaussiano,13,151,1,0,0.14606741573033707,0.07926829268292683,0.9285714285714286,0.0,0.9212121212121213,0.4148533585619678,0.09181537283943651
groovy-1_6_BETA_1,unbalanced,robust,Árbol de Decisión,4,9,10,142,0.2962962962962963,0.3076923076923077,0.2857142857142857,0.9403973509933775,0.11515151515151516,0.6130558183538315,0.32700632700632704
groovy-1_6_BETA_1,csbboost,standard,SVM,4,12,10,139,0.26666666666666666,0.25,0.2857142857142857,0.9205298013245033,0.13333333333333333,0.7322611163670766,0.34118328147354876
groovy-1_6_BETA_1,csbboost,standard,Naive Bayes Gaussiano,4,11,10,140,0.27586206896551724,0.26666666666666666,0.2857142857142857,0.9271523178807947,0.12727272727272726,0.6937086092715232,0.2968965726626251
groovy-1_6_BETA_1,csbboost,standard,Árbol de Decisión,10,33,4,118,0.3508771929824561,0.23255813953488372,0.7142857142857143,0.7814569536423841,0.22424242424242424,0.7393566698202461,0.4296831911058997
groovy-1_6_BETA_1,csbboost,robust,SVM,4,7,10,144,0.32,0.36363636363636365,0.2857142857142857,0.9536423841059603,0.10303030303030303,0.7973036896877956,0.32670803112965596
groovy-1_6_BETA_1,csbboost,robust,Naive Bayes Gaussiano,13,151,1,0,0.14606741573033707,0.07926829268292683,0.9285714285714286,0.0,0.9212121212121213,0.6835383159886471,0.20133458223841977
groovy-1_6_BETA_1,csbboost,robust,Árbol de Decisión,10,33,4,118,0.3508771929824561,0.23255813953488372,0.7142857142857143,0.7814569536423841,0.22424242424242424,0.7393566698202461,0.4296831911058997
groovy-1_6_BETA_1,hcbou,standard,SVM,7,15,7,136,0.3888888888888889,0.3181818181818182,0.5,0.9006622516556292,0.13333333333333333,0.749290444654683,0.354272194107222
groovy-1_6_BETA_1,hcbou,standard,Naive Bayes Gaussiano,10,58,4,93,0.24390243902439024,0.14705882352941177,0.7142857142857143,0.6158940397350994,0.37575757575757573,0.7071901608325449,0.33288729103782344
groovy-1_6_BETA_1,hcbou,standard,Árbol de Decisión,9,23,5,128,0.391304347826087,0.28125,0.6428571428571429,0.847682119205298,0.1696969696969697,0.7478713339640491,0.2662459851975981
groovy-1_6_BETA_1,hcbou,robust,SVM,14,151,0,0,0.1564245810055866,0.08484848484848485,1.0,0.0,0.9151515151515152,0.7663197729422896,0.38978766304005524
groovy-1_6_BETA_1,hcbou,robust,Naive Bayes Gaussiano,13,151,1,0,0.14606741573033707,0.07926829268292683,0.9285714285714286,0.0,0.9212121212121213,0.6395458845789973,0.20072559827527994
groovy-1_6_BETA_1,hcbou,robust,Árbol de Decisión,9,23,5,128,0.391304347826087,0.28125,0.6428571428571429,0.847682119205298,0.1696969696969697,0.7478713339640491,0.2662459851975981
groovy-1_6_BETA_1,smote,standard,SVM,6,10,8,141,0.4,0.375,0.42857142857142855,0.9337748344370861,0.10909090909090909,0.7989593188268685,0.46871518498552844
groovy-1_6_BETA_1,smote,standard,Naive Bayes Gaussiano,5,19,9,132,0.2631578947368421,0.20833333333333334,0.35714285714285715,0.8741721854304636,0.1696969696969697,0.7015137180700095,0.3144157742069353
groovy-1_6_BETA_1,smote,standard,Árbol de Decisión,6,11,8,140,0.3870967741935484,0.35294117647058826,0.42857142857142855,0.9271523178807947,0.11515151515151516,0.6778618732261116,0.41499872676343263
groovy-1_6_BETA_1,smote,robust,SVM,11,76,3,75,0.21782178217821782,0.12643678160919541,0.7857142857142857,0.4966887417218543,0.47878787878787876,0.7776726584673606,0.4069576772838863
groovy-1_6_BETA_1,smote,robust,Naive Bayes Gaussiano,13,151,1,0,0.14606741573033707,0.07926829268292683,0.9285714285714286,0.0,0.9212121212121213,0.6613055818353831,0.22588922848623377
groovy-1_6_BETA_1,smote,robust,Árbol de Decisión,6,11,8,140,0.3870967741935484,0.35294117647058826,0.42857142857142855,0.9271523178807947,0.11515151515151516,0.6778618732261116,0.41499872676343263
hbase-0.94.0,unbalanced,standard,SVM,16,22,28,146,0.3902439024390244,0.42105263157894735,0.36363636363636365,0.8690476190476191,0.2358490566037736,0.7463474025974025,0.4717601142892821
hbase-0.94.0,unbalanced,standard,Naive Bayes Gaussiano,25,31,19,137,0.5,0.44642857142857145,0.5681818181818182,0.8154761904761905,0.2358490566037736,0.7563582251082251,0.4588214354221183
hbase-0.94.0,unbalanced,standard,Árbol de Decisión,22,13,22,155,0.5569620253164557,0.6285714285714286,0.5,0.9226190476190477,0.1650943396226415,0.7529761904761906,0.6368851932711147
hbase-0.94.0,unbalanced,robust,SVM,44,168,0,0,0.34375,0.20754716981132076,1.0,0.0,0.7924528301886793,0.754193722943723,0.48020020032745436
hbase-0.94.0,unbalanced,robust,Naive Bayes Gaussiano,44,167,0,1,0.34509803921568627,0.20853080568720378,1.0,0.005952380952380952,0.7877358490566038,0.72754329004329,0.358504627686439
hbase-0.94.0,unbalanced,robust,Árbol de Decisión,22,13,22,155,0.5569620253164557,0.6285714285714286,0.5,0.9226190476190477,0.1650943396226415,0.7529761904761906,0.6368851932711147
hbase-0.94.0,csbboost,standard,SVM,37,90,7,78,0.4327485380116959,0.29133858267716534,0.8409090909090909,0.4642857142857143,0.45754716981132076,0.7420183982683983,0.43051744237985656
hbase-0.94.0,csbboost,standard,Naive Bayes Gaussiano,21,32,23,136,0.4329896907216495,0.39622641509433965,0.4772727272727273,0.8095238095238095,0.25943396226415094,0.7453327922077922,0.4642504647472575
hbase-0.94.0,csbboost,standard,Árbol de Decisión,26,21,18,147,0.5714285714285714,0.5531914893617021,0.5909090909090909,0.875,0.18396226415094338,0.6647727272727273,0.449134393582822
hbase-0.94.0,csbboost,robust,SVM,42,136,2,32,0.3783783783783784,0.23595505617977527,0.9545454545454546,0.19047619047619047,0.6509433962264151,0.7164502164502164,0.39813607543548607
hbase-0.94.0,csbboost,robust,Naive Bayes Gaussiano,43,166,1,2,0.33992094861660077,0.20574162679425836,0.9772727272727273,0.011904761904761904,0.7877358490566038,0.7068452380952381,0.36803828800223787
hbase-0.94.0,csbboost,robust,Árbol de Decisión,26,20,18,148,0.5777777777777777,0.5652173913043478,0.5909090909090909,0.8809523809523809,0.1792452830188679,0.669439935064935,0.4595952450199323
hbase-0.94.0,hcbou,standard,SVM,37,106,7,62,0.39572192513368987,0.25874125874125875,0.8409090909090909,0.36904761904761907,0.5330188679245284,0.7780032467532467,0.4744749691467578
