route,balancing,dataset,scaler,model,TP,TN,FP,FN,P,N,Total,Error,Exactitud,TP_Rate,FP_Rate,Precision,Recall,Sensibilidad,Especificidad,F1_Score,Accuracy_sklearn,cv_best_score
fs,unbalanced,activemq-5.0.0,standard,decision_tree,35,296,22,24,59,318,377,0.1220159151193634,0.8779840848806366,0.5932203389830508,0.06918238993710692,0.6140350877192983,0.5932203389830508,0.5932203389830508,0.9308176100628931,0.603448275862069,0.8779840848806366,0.5802536231884059
fs,unbalanced,activemq-5.0.0,standard,naive_bayes_gaussian,31,301,17,28,59,318,377,0.11936339522546419,0.8806366047745358,0.5254237288135594,0.05345911949685535,0.6458333333333334,0.5254237288135594,0.5254237288135594,0.9465408805031447,0.5794392523364486,0.8806366047745358,0.5501811594202899
fs,unbalanced,activemq-5.0.0,standard,svm,25,309,9,34,59,318,377,0.11405835543766578,0.8859416445623343,0.423728813559322,0.02830188679245283,0.7352941176470589,0.423728813559322,0.423728813559322,0.9716981132075472,0.5376344086021505,0.8859416445623343,0.5295289855072464
nofs,unbalanced,activemq-5.0.0,standard,decision_tree,40,293,25,19,59,318,377,0.11671087533156499,0.883289124668435,0.6779661016949152,0.07861635220125786,0.6153846153846154,0.6779661016949152,0.6779661016949152,0.9213836477987422,0.6451612903225806,0.883289124668435,0.618659420289855
nofs,unbalanced,activemq-5.0.0,standard,naive_bayes_gaussian,34,290,28,25,59,318,377,0.14058355437665782,0.8594164456233422,0.576271186440678,0.0880503144654088,0.5483870967741935,0.576271186440678,0.576271186440678,0.9119496855345912,0.5619834710743802,0.8594164456233422,0.507427536231884
nofs,unbalanced,activemq-5.0.0,standard,svm,29,297,21,30,59,318,377,0.13527851458885942,0.8647214854111406,0.4915254237288136,0.0660377358490566,0.58,0.4915254237288136,0.4915254237288136,0.9339622641509434,0.5321100917431193,0.8647214854111406,0.5472826086956522
fs,csbboost,derby-10.5.1.1,robust,decision_tree,37,375,89,40,77,464,541,0.23844731977818853,0.7615526802218114,0.4805194805194805,0.19181034482758622,0.29365079365079366,0.4805194805194805,0.4805194805194805,0.8081896551724138,0.3645320197044335,0.7615526802218114,0.8484794427454979
fs,csbboost,derby-10.5.1.1,robust,naive_bayes_gaussian,2,461,3,75,77,464,541,0.14417744916820702,0.8558225508317929,0.025974025974025976,0.00646551724137931,0.4,0.025974025974025976,0.025974025974025976,0.9935344827586207,0.04878048780487805,0.8558225508317929,0.015715256540944612
fs,csbboost,derby-10.5.1.1,robust,svm,57,312,152,20,77,464,541,0.3179297597042514,0.6820702402957486,0.7402597402597403,0.3275862068965517,0.2727272727272727,0.7402597402597403,0.7402597402597403,0.6724137931034483,0.3986013986013986,0.6820702402957486,0.9657832144070676
nofs,csbboost,derby-10.5.1.1,robust,decision_tree,43,380,84,34,77,464,541,0.21811460258780038,0.7818853974121996,0.5584415584415584,0.1810344827586207,0.33858267716535434,0.5584415584415584,0.5584415584415584,0.8189655172413793,0.4215686274509804,0.7818853974121996,0.8484539585457018
